filingnumber,filing_date,case_status,relevant_date
KL-000004-2025,"January 6, 2025",Disposed,"October 28, 2025"
KL-000005-2025,"January 6, 2025",Pending,"March 10, 2026"
KL-000007-2026,"January 6, 2026",Pending,"March 10, 2026"
KL-000008-2025,"January 7, 2025",Disposed,"September 22, 2025"
KL-000009-2025,"January 7, 2025",Pending,"March 10, 2026"
KL-000009-2026,"January 6, 2026",Pending,"March 10, 2026"
KL-000010-2025,"January 7, 2025",Disposed,"February 28, 2026"
KL-000010-2026,"January 6, 2026",Pending,"March 10, 2026"
KL-000011-2026,"January 6, 2026",Pending,"March 10, 2026"
KL-000012-2025,"January 8, 2025",Disposed,"August 19, 2025"
KL-000013-2025,"January 7, 2025",Pending,"March 10, 2026"
KL-000014-2026,"January 3, 2026",Pending,"March 10, 2026"
KL-000015-2025,"January 7, 2025",Pending,"March 10, 2026"
KL-000015-2026,"January 6, 2026",Pending,"March 10, 2026"
KL-000016-2026,"January 3, 2026",Pending,"March 10, 2026"
KL-000017-2026,"January 6, 2026",Pending,"March 10, 2026"
KL-000018-2026,"January 8, 2026",Pending,"March 10, 2026"
KL-000019-2026,"January 4, 2026",Pending,"March 10, 2026"
KL-000020-2025,"January 7, 2025",Disposed,"July 30, 2025"
KL-000020-2026,"January 4, 2026",Pending,"March 10, 2026"
KL-000021-2026,"January 5, 2026",Pending,"March 10, 2026"
KL-000022-2025,"January 7, 2025",Pending,"March 10, 2026"
KL-000023-2025,"January 8, 2025",Disposed,"October 7, 2025"
KL-000024-2025,"January 8, 2025",Disposed,"July 4, 2025"
KL-000024-2026,"January 5, 2026",Pending,"March 10, 2026"
KL-000025-2025,"January 8, 2025",Disposed,"February 28, 2025"
KL-000026-2026,"January 6, 2026",Pending,"March 10, 2026"
KL-000027-2025,"January 13, 2025",Pending,"March 10, 2026"
KL-000027-2026,"January 6, 2026",Pending,"March 10, 2026"
KL-000030-2025,"January 8, 2025",Pending,"March 10, 2026"
KL-000031-2025,"January 9, 2025",Pending,"March 10, 2026"
KL-000033-2025,"January 8, 2025",Pending,"March 10, 2026"
KL-000033-2026,"January 6, 2026",Pending,"March 10, 2026"
KL-000034-2026,"January 7, 2026",Pending,"March 10, 2026"
KL-000035-2026,"January 8, 2026",Pending,"March 10, 2026"
KL-000036-2025,"January 8, 2025",Pending,"March 10, 2026"
KL-000036-2026,"January 7, 2026",Pending,"March 10, 2026"
KL-000037-2026,"January 9, 2026",Pending,"March 10, 2026"
KL-000038-2025,"January 10, 2025",Disposed,"November 3, 2025"
KL-000039-2025,"January 9, 2025",Pending,"March 10, 2026"
KL-000040-2025,"January 9, 2025",Pending,"March 10, 2026"
KL-000041-2025,"January 10, 2025",Pending,"March 10, 2026"
KL-000041-2026,"January 8, 2026",Pending,"March 10, 2026"
KL-000042-2026,"January 8, 2026",Pending,"March 10, 2026"
KL-000043-2025,"January 15, 2025",Pending,"March 10, 2026"
KL-000043-2026,"January 17, 2026",Pending,"March 10, 2026"
KL-000044-2025,"January 10, 2025",Pending,"March 10, 2026"
KL-000045-2025,"January 16, 2025",Pending,"March 10, 2026"
